series_code,series_name,series_kind,number,player_name,team,position,variant,print_run,scarcity,requestable
BASE,Base,base,1,,Alaves,,,,1,true
BASE,Base,base,2,,Alaves,POR,,,1,true
BASE,Base,base,3,,Alaves,POR,,,1,true
BASE,Base,base,4,,Alaves,DEF,,,1,true
BASE,Base,base,5,,Alaves,DEF,,,1,true
BASE,Base,base,6,,Alaves,DEF,,,1,true
BASE,Base,base,7,,Alaves,DEF,,,1,true
BASE,Base,base,8,,Alaves,DEF,,,1,true
BASE,Base,base,9,,Alaves,DEF,,,1,true
BASE,Base,base,10,,Alaves,MED,,,1,true
BASE,Base,base,11,,Alaves,MED,,,1,true
BASE,Base,base,12,,Alaves,MED,,,1,true
BASE,Base,base,13,,Alaves,MED,,,1,true
BASE,Base,base,14,,Alaves,MED,,,1,true
BASE,Base,base,15,,Alaves,MED,,,1,true
BASE,Base,base,16,,Alaves,DEL,,,1,true
BASE,Base,base,17,,Alaves,DEL,,,1,true
BASE,Base,base,18,,Alaves,DEL,,,1,true
BASE,Base,base,19,,Alaves,DEL,,,1,true
BASE,Base,base,20,,Athletic Club,,,,1,true
BASE,Base,base,21,,Athletic Club,POR,,,1,true
BASE,Base,base,22,,Athletic Club,POR,,,1,true
BASE,Base,base,23,,Athletic Club,DEF,,,1,true
BASE,Base,base,24,,Athletic Club,DEF,,,1,true
BASE,Base,base,25,,Athletic Club,DEF,,,1,true
BASE,Base,base,26,,Athletic Club,DEF,,,1,true
BASE,Base,base,27,,Athletic Club,DEF,,,1,true
BASE,Base,base,28,,Athletic Club,DEF,,,1,true
BASE,Base,base,29,,Athletic Club,MED,,,1,true
BASE,Base,base,30,,Athletic Club,MED,,,1,true
BASE,Base,base,31,,Athletic Club,MED,,,1,true
BASE,Base,base,32,,Athletic Club,MED,,,1,true
BASE,Base,base,33,,Athletic Club,MED,,,1,true
BASE,Base,base,34,,Athletic Club,MED,,,1,true
BASE,Base,base,35,,Athletic Club,DEL,,,1,true
BASE,Base,base,36,,Athletic Club,DEL,,,1,true
BASE,Base,base,37,,Athletic Club,DEL,,,1,true
BASE,Base,base,38,,Athletic Club,DEL,,,1,true
BASE,Base,base,39,,Atletico de Madrid,,,,1,true
BASE,Base,base,40,,Atletico de Madrid,POR,,,1,true
BASE,Base,base,41,,Atletico de Madrid,POR,,,1,true
BASE,Base,base,42,,Atletico de Madrid,DEF,,,1,true
BASE,Base,base,43,,Atletico de Madrid,DEF,,,1,true
BASE,Base,base,44,,Atletico de Madrid,DEF,,,1,true
BASE,Base,base,45,,Atletico de Madrid,DEF,,,1,true
BASE,Base,base,46,,Atletico de Madrid,DEF,,,1,true
BASE,Base,base,47,,Atletico de Madrid,DEF,,,1,true
BASE,Base,base,48,,Atletico de Madrid,MED,,,1,true
BASE,Base,base,49,,Atletico de Madrid,MED,,,1,true
BASE,Base,base,50,,Atletico de Madrid,MED,,,1,true
BASE,Base,base,51,,Atletico de Madrid,MED,,,1,true
BASE,Base,base,52,,Atletico de Madrid,MED,,,1,true
BASE,Base,base,53,,Atletico de Madrid,MED,,,1,true
BASE,Base,base,54,,Atletico de Madrid,DEL,,,1,true
BASE,Base,base,55,,Atletico de Madrid,DEL,,,1,true
BASE,Base,base,56,,Atletico de Madrid,DEL,,,1,true
BASE,Base,base,57,,Atletico de Madrid,DEL,,,1,true
BASE,Base,base,58,,Barcelona,,,,1,true
BASE,Base,base,59,,Barcelona,POR,,,1,true
BASE,Base,base,60,,Barcelona,POR,,,1,true
BASE,Base,base,61,,Barcelona,DEF,,,1,true
BASE,Base,base,62,,Barcelona,DEF,,,1,true
BASE,Base,base,63,,Barcelona,DEF,,,1,true
BASE,Base,base,64,,Barcelona,DEF,,,1,true
BASE,Base,base,65,,Barcelona,DEF,,,1,true
BASE,Base,base,66,,Barcelona,DEF,,,1,true
BASE,Base,base,67,,Barcelona,MED,,,1,true
BASE,Base,base,68,,Barcelona,MED,,,1,true
BASE,Base,base,69,,Barcelona,MED,,,1,true
BASE,Base,base,70,,Barcelona,MED,,,1,true
BASE,Base,base,71,,Barcelona,MED,,,1,true
BASE,Base,base,72,,Barcelona,MED,,,1,true
BASE,Base,base,73,,Barcelona,DEL,,,1,true
BASE,Base,base,74,,Barcelona,DEL,,,1,true
BASE,Base,base,75,,Barcelona,DEL,,,1,true
BASE,Base,base,76,,Barcelona,DEL,,,1,true
BASE,Base,base,77,,Celta de Vigo,,,,1,true
BASE,Base,base,78,,Celta de Vigo,POR,,,1,true
BASE,Base,base,79,,Celta de Vigo,POR,,,1,true
BASE,Base,base,80,,Celta de Vigo,DEF,,,1,true
BASE,Base,base,81,,Celta de Vigo,DEF,,,1,true
BASE,Base,base,82,,Celta de Vigo,DEF,,,1,true
BASE,Base,base,83,,Celta de Vigo,DEF,,,1,true
BASE,Base,base,84,,Celta de Vigo,DEF,,,1,true
BASE,Base,base,85,,Celta de Vigo,DEF,,,1,true
BASE,Base,base,86,,Celta de Vigo,MED,,,1,true
BASE,Base,base,87,,Celta de Vigo,MED,,,1,true
BASE,Base,base,88,,Celta de Vigo,MED,,,1,true
BASE,Base,base,89,,Celta de Vigo,MED,,,1,true
BASE,Base,base,90,,Celta de Vigo,MED,,,1,true
BASE,Base,base,91,,Celta de Vigo,MED,,,1,true
BASE,Base,base,92,,Celta de Vigo,DEL,,,1,true
BASE,Base,base,93,,Celta de Vigo,DEL,,,1,true
BASE,Base,base,94,,Celta de Vigo,DEL,,,1,true
BASE,Base,base,95,,Celta de Vigo,DEL,,,1,true
BASE,Base,base,96,,Elche,,,,1,true
BASE,Base,base,97,,Elche,POR,,,1,true
BASE,Base,base,98,,Elche,POR,,,1,true
BASE,Base,base,99,,Elche,DEF,,,1,true
BASE,Base,base,100,,Elche,DEF,,,1,true
BASE,Base,base,101,,Elche,DEF,,,1,true
BASE,Base,base,102,,Elche,DEF,,,1,true
BASE,Base,base,103,,Elche,DEF,,,1,true
BASE,Base,base,104,,Elche,DEF,,,1,true
BASE,Base,base,105,,Elche,MED,,,1,true
BASE,Base,base,106,,Elche,MED,,,1,true
BASE,Base,base,107,,Elche,MED,,,1,true
BASE,Base,base,108,,Elche,MED,,,1,true
BASE,Base,base,109,,Elche,MED,,,1,true
BASE,Base,base,110,,Elche,MED,,,1,true
BASE,Base,base,111,,Elche,DEL,,,1,true
BASE,Base,base,112,,Elche,DEL,,,1,true
BASE,Base,base,113,,Elche,DEL,,,1,true
BASE,Base,base,114,,Elche,DEL,,,1,true
BASE,Base,base,115,,Espanyol,,,,1,true
BASE,Base,base,116,,Espanyol,POR,,,1,true
BASE,Base,base,117,,Espanyol,POR,,,1,true
BASE,Base,base,118,,Espanyol,DEF,,,1,true
BASE,Base,base,119,,Espanyol,DEF,,,1,true
BASE,Base,base,120,,Espanyol,DEF,,,1,true
BASE,Base,base,121,,Espanyol,DEF,,,1,true
BASE,Base,base,122,,Espanyol,DEF,,,1,true
BASE,Base,base,123,,Espanyol,DEF,,,1,true
BASE,Base,base,124,,Espanyol,MED,,,1,true
BASE,Base,base,125,,Espanyol,MED,,,1,true
BASE,Base,base,126,,Espanyol,MED,,,1,true
BASE,Base,base,127,,Espanyol,MED,,,1,true
BASE,Base,base,128,,Espanyol,MED,,,1,true
BASE,Base,base,129,,Espanyol,MED,,,1,true
BASE,Base,base,130,,Espanyol,DEL,,,1,true
BASE,Base,base,131,,Espanyol,DEL,,,1,true
BASE,Base,base,132,,Espanyol,DEL,,,1,true
BASE,Base,base,133,,Espanyol,DEL,,,1,true
BASE,Base,base,134,,Getafe,,,,1,true
BASE,Base,base,135,,Getafe,POR,,,1,true
BASE,Base,base,136,,Getafe,POR,,,1,true
BASE,Base,base,137,,Getafe,DEF,,,1,true
BASE,Base,base,138,,Getafe,DEF,,,1,true
BASE,Base,base,139,,Getafe,DEF,,,1,true
BASE,Base,base,140,,Getafe,DEF,,,1,true
BASE,Base,base,141,,Getafe,DEF,,,1,true
BASE,Base,base,142,,Getafe,DEF,,,1,true
BASE,Base,base,143,,Getafe,MED,,,1,true
BASE,Base,base,144,,Getafe,MED,,,1,true
BASE,Base,base,145,,Getafe,MED,,,1,true
BASE,Base,base,146,,Getafe,MED,,,1,true
BASE,Base,base,147,,Getafe,MED,,,1,true
BASE,Base,base,148,,Getafe,MED,,,1,true
BASE,Base,base,149,,Getafe,DEL,,,1,true
BASE,Base,base,150,,Getafe,DEL,,,1,true
BASE,Base,base,151,,Getafe,DEL,,,1,true
BASE,Base,base,152,,Getafe,DEL,,,1,true
BASE,Base,base,153,,Girona,,,,1,true
BASE,Base,base,154,,Girona,POR,,,1,true
BASE,Base,base,155,,Girona,POR,,,1,true
BASE,Base,base,156,,Girona,DEF,,,1,true
BASE,Base,base,157,,Girona,DEF,,,1,true
BASE,Base,base,158,,Girona,DEF,,,1,true
BASE,Base,base,159,,Girona,DEF,,,1,true
BASE,Base,base,160,,Girona,DEF,,,1,true
BASE,Base,base,161,,Girona,DEF,,,1,true
BASE,Base,base,162,,Girona,MED,,,1,true
